cz,cz_name,state,region,division,pop_2000,top_100,urban,rel_mobility,abs_mobility,prob_q1q5,frac_black,racial_seg,income_seg,poverty_seg,affluence_seg,frac_commute_under15,hhi_percap,gini,top1inc_share,gini_bottom99,frac_p25top75,taxrate,gov_exp,inctax_progressive,eitc,sch_exp,tchr_ratio,test_pctile,hs_dropout,colleges_percap,college_tuition,college_gradrate,labor_participation,manufacturing,growth_imports,teen_lfp,migration_in,migration_out,foreign_born,social_capital,frac_religious,crime_rate,frac_single_mothers,frac_divorced,frac_married,inc_growth,Urban or Rural
100,Johnson City,TN,South,East South Central,"576,081",0,urban,0,38,0,0,0,0,0,0,0.325,31560,0.468,13.459,0.333,0.548,0.020,1886,0.000,0.000,5.185,,2.728,-0.015,0.014,4817,-0.002,0.587,0.237,5.294,0.004,0.006,0.005,0.012,-0.298,0.514,0.001,0.190,0.110,0.601,-0.002,#REF!
200,Morristown,TN,South,East South Central,"227,816",0,urban,0,38,0,0,0,0,0,0,0.276,29959,0.435,10.631,0.328,0.538,0.023,2004,0.000,0.000,4.506,,-3.400,-0.024,0.009,4762,-0.101,0.625,0.238,3.030,0.005,0.016,0.014,0.023,-0.767,0.544,0.002,0.185,0.116,0.613,-0.002,#REF!
301,Middlesborough,TN,South,East South Central,"66,708",0,rural,0,39,0,0,0,0,0,0,0.359,22328,0.441,10.691,0.334,0.467,0.015,1190,0.000,0.000,5.614,15.1,-9.315,-0.005,0.045,11840,0.111,0.479,0.234,2.063,0.003,0.008,0.012,0.007,-1.270,0.668,0.001,0.211,0.113,0.590,-0.004,#REF!
302,Knoxville,TN,South,East South Central,"727,600",1,urban,0,38,0,0,0,0,0,0,0.269,35884,0.508,15.080,0.358,0.504,0.019,2357,0.000,0.000,4.900,,-6.032,-0.011,0.011,3480,-0.024,0.615,0.146,1.078,0.004,0.016,0.014,0.020,-0.222,0.602,0.001,0.206,0.114,0.575,-0.002,#REF!
401,Winston-Salem,NC,South,South Atlantic,"493,180",0,urban,0,37,0,0,0,0,0,0,0.292,38892,0.466,11.917,0.346,0.500,0.018,1891,1.000,0.000,5.463,15.4,-2.297,0.023,0.014,9715,0.052,0.656,0.215,1.016,0.004,0.022,0.019,0.053,-0.018,0.488,0.003,0.220,0.092,0.586,-0.014,#REF!
402,Martinsville,VA,South,South Atlantic,"92,753",0,rural,0,37,0,0,0,0,0,0,0.313,31265,0.444,10.680,0.338,0.538,0.015,1558,0.000,0.000,5.740,,4.227,,0.011,1113,-0.116,0.599,0.395,3.277,0.003,0.007,0.010,0.025,-0.903,0.454,0.002,0.241,0.096,0.580,-0.011,#REF!
500,Greensboro,NC,South,South Atlantic,"1,055,133",1,urban,0,36,0,0,0,0,0,0,0.305,36582,0.524,18.228,0.341,0.510,0.017,1932,1.000,0.000,5.008,16.7,-3.716,0.016,0.014,4528,-0.017,0.666,0.261,2.051,0.004,0.017,0.015,0.050,-0.513,0.434,0.003,0.237,0.096,0.560,-0.014,#REF!
601,North Wilkesboro,NC,South,South Atlantic,"90,016",0,rural,0,38,0,0,0,0,0,0,0.289,31544,0.446,12.645,0.320,0.560,0.014,1661,1.000,0.000,5.296,16.2,6.698,0.021,0.011,880,-0.123,0.617,0.275,2.573,0.003,0.012,0.012,0.027,-0.193,0.561,0.003,0.165,0.087,0.632,-0.011,#REF!
602,Galax,VA,South,South Atlantic,"64,676",0,rural,0,41,0,0,0,0,0,0,0.325,30683,0.356,8.706,0.269,0.608,0.014,1208,0.000,0.000,5.377,12.3,4.900,,,,,0.594,0.321,4.303,0.004,0.006,0.006,0.023,-0.801,0.430,0.001,0.167,0.089,0.622,-0.010,#REF!
700,Spartanburg,SC,South,South Atlantic,"354,533",0,urban,0,36,0,0,0,0,0,0,0.299,33417,0.471,13.061,0.341,0.529,0.018,2499,0.000,0.000,5.421,15.9,-1.009,,0.020,7264,0.007,0.630,0.295,0.946,0.004,0.017,0.016,0.029,-1.001,0.596,0.003,0.246,0.099,0.561,-0.014,#REF!
