NCESSCH,LEANM,SCHNAM,MCITY,MSTATE,FTE,GSLO,GSHI,LEVEL,TITLEI,MAGNET,CHARTR,FRELCH,REDLCH,TOTFRL,MEMBER,AM,ASIAN,HISP,BLACK,WHITE,PACIFIC,TR,TOTETH
90000201136,CONNECTICUT TECHNICAL HIGH SC,A. I. PRINCE TECHNICAL HIGH SCHOOL,HARTFORD,CT,80.7,9,12,3,1,2,2,521,64,585,801,2,6,461,250,70,0,12,801
90000201145,CONNECTICUT TECHNICAL HIGH SC,HOWELL CHENEY TECHNICAL HIGH SCHOOL,MANCHESTER,CT,57.96,9,12,3,2,2,2,226,53,279,667,4,16,159,97,373,0,18,667
90000201152,CONNECTICUT TECHNICAL HIGH SC,WINDHAM TECHNICAL HIGH SCHOOL,WILLIMANTIC,CT,47.56,9,12,3,2,2,2,175,47,222,550,5,1,171,7,350,1,15,550
90000501215,REGIONAL SCHOOL DISTRICT 19,E. O. SMITH HIGH SCHOOL,STORRS,CT,107.2,9,12,3,1,2,2,139,40,179,1196,2,60,77,23,1025,2,7,1196
90000700747,JUMOKE ACADEMY DISTRICT,JUMOKE ACADEMY,HARTFORD,CT,36,PK,10,4,1,2,1,361,88,449,704,3,0,6,679,0,12,4,704
90000900774,ODYSSEY COMMUNITY SCHOOL DIST,ODYSSEY COMMUNITY SCHOOL,MANCHESTER,CT,23.75,KG,8,1,1,2,1,94,15,109,325,0,33,51,73,158,0,10,325
90021201528,ACHIEVEMENT FIRST HARTFORD AC,ACHIEVEMENT FIRST HARTFORD ACADEMY INC.,HARTFORD,CT,75,KG,10,4,1,2,1,867,0,867,870,1,1,136,720,1,1,10,870
90070000072,CAPITOL REGION EDUCATION COUN,EAST HARTFORD/GLASTONBURY MAGNET SCHOOL,GLASTONBURY,CT,29.66,PK,5,1,2,1,2,131,12,143,410,0,40,105,100,145,1,19,410
90070000210,CAPITOL REGION EDUCATION COUN,MONTESSORI MAGNET SCHOOL,HARTFORD,CT,27.3,PK,6,1,1,1,2,107,31,138,342,1,13,149,72,95,0,12,342
90070001154,CAPITOL REGION EDUCATION COUN,JOHN J. ALLISON POLARIS CENTER,EAST HARTFORD,CT,18,7,12,3,2,2,2,45,5,50,53,0,0,26,15,12,0,0,53
90070001364,CAPITOL REGION EDUCATION COUN,TWO RIVERS MAGNET MIDDLE,EAST HARTFORD,CT,55,6,8,2,1,1,2,215,46,261,660,3,53,179,132,268,0,25,660
