Population_Density_2010,Population_2010,White_Population_2010,Black_Population_2010,Asian_Population_2010,All_Other_Races_2010,Hispanic_Latino_2010,Household_Income_2015,Public_Nutrition_Assistance_2015,Employment_Rate_2015,Commercial_Construction_2015,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Building_Age_2015,Fincancial_Services_Proximity_2015,Bachelors_Degree_2015,High_School_Diploma_2015,Early_Care_Proximity_2015,SchoolAge_Proximity_2015,Library_Card_Prevalence_2015,Proficiency_Elementary_School_2014,Proficiency_Middle_School_2014,Proficiency_High_School_2014,Highschool_Graduation_Rate_2014,Student_Absenteeism_2014,Neighborhood_School_Attendance_2014,Voter_Participation_2015,Low_Cost_Healthcare_Proximity_2016,Grocery_Proximity_2015,Pharmacy_Proximity_2015,Park_Proximity_2015,Births_to_Adolescents_2014,Low_Birthweight_2014,Prenatal_Care_2014,Age_of_Death_2014,Public_Health_Insurance _2015,Housing_Density_2015,Single_Family_Housing_2015,Housing_Size_2015,Housing_Age_2015,Rental_Houses_2015,Residential_Renovation_2015,Foreclosures_2015,Home_Sales_Price_2015,Housing_Violations_2015,Subsidized_Housing_2015,Home_Ownership_2015,Residential_Occupancy_2014,Rental_Costs_2014,Violent_Crime_Rate_2015,Property_Crime_Rate_2015,Disorder_Call_Rate_2015,Animal_Control_Call_Rate_2015,Fire_Call_Rate_2015,Nuisance_Violations_2015,Long_Commute_2014,Bicycle_Friendliness_2015,Street_Connectivity_2016,Sidewalk_Availability_2013,Transit_Proximity_2015,Transit_Ridership_2015
5,2039,52.8,33.7,1.5,2.8,9.2,45373,17,87,12.16,12670,456137,51,21,34,86,61,100,20,39.5,45.8,63.6,75,12,49,23,21,19,19,53,1.4,21.6,75.7,68,18,2.6,47,1473,68,25,7.3,1.1,217562,0.93,7,35,94,754,4.5,31.1,196.8,35.2,38.4,13.8,47,1.9,1.2,72.3,100,35
6,6563,83.7,10.2,2.1,1.9,2.1,81048,4,98,8.56,28152,10500735,63,99,75,96,70,70,17,86.4,77.9,66.7,91,6,75,24,85,66,91,96,3.5,8.7,83,70,4,4.1,38,2145,69,19,10.73,0.1,467716,0.17,10,47,86,1059,2.1,61.1,183.2,29.4,64.8,5.7,38,2.1,1.48,83.2,100,34
3,1002,93.3,1.6,3.5,0.7,0.9,151974,0,100,0,4398,4398,32,17,83,100,41,43,19,82.6,86.2,,100,4,86,42,23,13,14,9,7.1,14.3,85.7,80,1,1.2,89,3728,44,9,6.99,0.2,810017,0,0,100,98,,0.9,19.5,46.4,20.4,44.5,0.5,59,2.1,1.17,32.8,94,8
4,603,8.6,83.3,2,3.5,2.7,20032,56,82,6.58,28777,489205,55,13,2,75,100,100,19,16.7,12.9,11.1,50,21,73,5,29,14,52,93,13,17.4,52.2,65,53,2,59,1053,56,62,2.39,2.2,,19.94,0,25,87,613,18.8,67.1,318.1,99.3,41.6,30.2,23,1.9,1.16,39,100,17
4,1638,14.7,78.6,1.1,1.7,3.8,24092,54,84,1.49,11740,810086,50,61,8,63,100,100,18,25,17.9,25,62,21,65,10,65,67,86,65,8.9,25,55.4,60,48,2,84,1081,67,56,4.46,1,41056,6.61,0,28,83,743,24.4,100.9,567.9,127.6,64.4,39.9,63,1.9,1.28,41.2,100,74
2,1193,95.3,0.4,1.8,1.2,1.3,180938,0,99,6.02,49318,1726120,24,56,85,99,0,85,15,90,100,,100,5,98,43,40,47,37,85,0,0,91.7,81,0,0.8,100,5157,36,6,5.84,0,1656526,0,0,100,84,,0,22.1,101.5,26.7,69.5,3.8,37,1.8,1.19,53.2,74,30
3,1761,78.6,11.8,3.6,1.8,4.2,50379,7,97,0.5,10627,74387,33,48,51,96,20,20,14,81.8,71.4,,,11,33,26,29,13,32,67,0,4.7,90.7,85,9,1.7,42,1873,52,17,2.01,0,233714,0.19,16,70,90,,0.5,16.8,89.7,34.1,37.8,12.5,51,1.6,1.13,58.9,99,9
6,538,71.4,17.7,2.4,2,6.5,63164,9,93,0,2614,49675,66,11,41,82,100,100,17,60,16.7,,,12,14,26,99,80,100,100,0,17.4,87,74,10,3.2,89,1254,64,35,16.03,1.2,260211,0.66,0,65,85,1083,3.3,37.9,143.3,36.3,44.5,14.6,24,1.8,1.38,49,100,25
6,3355,32.2,52,4.3,2.5,9,25227,32,88,1.09,6509,403549,47,63,18,78,100,100,17,26,29.8,6.7,56,21,71,17,62,78,80,100,3.6,14.4,71.2,67,29,2.9,75,1077,62,41,9.61,0.6,141766,3.64,0,36,91,751,11.5,77.6,293.4,80.9,42,40.8,54,1.7,1.35,65,100,42
5,2357,91.5,2.5,2.5,2,1.5,105208,1,98,4.51,13507,526792,61,44,87,99,82,82,20,87.1,82.5,100,100,4,70,33,31,55,46,100,0,10.1,85.4,83,1,2.4,64,2177,56,17,13.53,0.3,529879,0.16,0,63,97,974,0.8,30.1,89.6,32.8,38.1,4.2,20,1.9,1.2,64.8,100,67
16,2496,14.5,46.7,5.7,3.2,29.9,25425,34,85,3.15,14059,126534,31,0,19,76,100,100,16,25.8,18.3,25,85,17,82,8,93,0,100,59,8.3,12.5,52.1,62,34,7.9,0,,,,0,0,73375,1.75,0,13,85,805,11.6,36.6,188.6,32.1,18.3,4.8,46,1.7,1.05,33.1,100,95
7,3348,47.4,21.6,2.4,2.1,26.6,37623,15,91,96.85,22455,1392182,38,23,32,88,84,100,17,47,30,53.8,64,9,63,16,0,0,24,68,3.9,6.8,56.3,67,18,4,34,1326,57,23,6.12,0.8,220338,0.55,0,34,90,753,2.8,38.2,137.9,33.8,20.4,7.4,44,1.7,1.24,47.6,100,13
8,3669,27.8,44,16.5,3.5,8.1,65081,13,94,0.23,10143,91284,21,61,52,99,100,99,17,43.3,39.3,50,97,9,76,14,47,63,63,86,1,6.7,68.6,65,16,3.7,54,1881,18,23,1.38,1.5,147721,0.37,0,38,88,964,1.9,26.2,79,33.3,14.5,12.7,68,1.8,1.08,49.3,74,132
3,2010,79.4,8.8,4.2,2.4,5.1,95762,4,90,0.58,6665,26658,38,0,53,93,55,55,20,72.2,62.2,,91,6,58,32,0,0,0,59,0,4.8,85.7,73,6,1.2,95,2323,40,13,3.77,0.7,277405,0.36,0,93,95,1567,0,4.7,41.6,39.7,23.8,26.5,60,1.8,1.18,26.3,0,
6,4587,31.6,44.6,3.1,3,17.6,43212,31,87,0.41,13759,550372,39,27,29,89,98,94,22,31.5,27,24.3,80,12,73,16,57,19,54,47,3,14.8,58,63,31,2.9,56,1474,44,28,3.58,1.4,109167,1.09,0,50,84,876,3.6,32.2,168.8,53.3,29.9,13.8,50,1.6,1.2,39.8,98,33
7,3047,7,73.9,3.3,2.3,13.5,32540,34,84,0.22,11130,233728,36,0,15,79,100,100,17,35.8,26.7,30,81,12,76,19,31,38,33,89,2,11.1,59.6,67,36,2.8,69,1610,44,26,2.87,1.2,686531,1.59,1,52,94,648,5.6,27.5,111,60.2,27.8,18.1,70,1.6,1.18,43.4,100,62
5,2968,83.6,10,2.2,1.6,2.6,81800,4,95,0.98,31189,405454,26,33,74,98,10,33,17,76.6,75.9,70,91,5,81,30,83,29,83,81,2.7,5.5,86.3,84,4,2.8,42,2945,43,13,9.43,0.1,667693,0.65,0,47,88,1027,1.8,16.9,92.1,20.7,29.4,3.5,37,1.8,1.16,48.8,100,87
4,3480,88.2,4.1,2,1.8,3.9,86981,3,98,2.15,5892,29460,46,37,64,97,33,57,18,72,73.8,73.3,87,9,64,31,0,34,35,76,1.1,3.2,85.3,80,5,2.1,64,2295,42,8,5.13,0.2,297964,0.28,0,85,94,1136,0,13.7,56.7,18.3,21.9,3.9,50,1.9,1.15,33.7,98,7
